Date,Tornadoes,Fatalities
2023,1294*,83
2022,1143,23
2021,1314,103
2020,1082,76
2019,1517,42
2018,1126,10
2017,1429,35
2016,976,18
2015,1177,36
2014,886,47
2013,906,55
2012,938,70
2011,1691,553
2010,1282,45
2009,1146,21
2008,1692,126
2007,1100,81
2006,1106,67
2005,1262,38
2004,1813,35
2003,1385,54
2002,934,55
2001,1212,37
2000,1073,41
1999,1342,94
1998,1428,130
1997,1149,68
1996,1172,26
1995,1236,34
1994,1085,48
1993,1174,109
1992,1302,39
1991,1133,39
1990,1140,53
1989,859,50
1988,700,32
1987,658,59
1986,765,15
1985,687,94
1984,912,122
1983,930,34
1982,1049,64
1981,782,24
1980,866,28
1979,859,84
1978,789,53
1977,854,43
1976,837,44
1975,918,60
1974,951,366
1973,1104,89
1972,740,34
1971,888,159
1970,654,73
1969,607,66
1968,661,131
1967,927,114
1966,585,98
1965,900,301
1964,706,73
1963,462,31
1962,656,30
1961,698,52
1960,616,46
1959,602,58
1958,564,67
1957,857,193
1956,504,83
1955,591,129
1954,550,36
1953,422,519
1952,240,231
1951,260,34
1950,201,70
